[SCEN] t=0.00 scen=Fx crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 9.30, L= 8.38, L_straight=  8.07, slack=  0.31, T_bat= 0.46, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.13, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.40, L= 8.37, L_straight=  8.06, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.13, ret= -0.14, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.50, L= 8.35, L_straight=  8.04, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.13, ret= -0.14, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.60, L= 8.34, L_straight=  8.03, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.13, ret= -0.14, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.70, L= 8.32, L_straight=  8.02, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.12, ret= -0.14, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.80, L= 8.31, L_straight=  8.00, slack=  0.31, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.12, ret= -0.14, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.90, L= 8.29, L_straight=  7.99, slack=  0.30, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.12, ret= -0.14, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 10.00, L= 8.28, L_straight=  7.98, slack=  0.30, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.11, ret= -0.13, exp=PILOT_ASC_REMOVE_SLACK_ACC
[SCEN] t=10.10 scen=Fx crit=(t>10:-20) T_bat=0.4490872411738703 y=-7.47 x=-2.78 L=8.27
IC_L_7: t= 10.10, L= 8.27, L_straight=  7.96, slack=  0.30, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.11, ret= -0.13, exp=PILOT_ASC_REMOVE_SLACK_ACC
